,category,url,title,subtitle,pick,supporters,reward_levels,like_num,share_num,price,achievement_rate,achievement_goal,funding_period,funding_duration,start_day,abs_achievement_rate
13947,실용 · 취미,https://tumblbug.com/wikihouse2,게놈같은 생물학! 영어로 배우는 생물학 리뉴얼 출시!,단어와 이미지로 쉽게 이해하는 영어 생물학+생리학 리뉴얼!,0,64,"['1,000원 +', '33,000원 +', '62,000원 +']",121,235,2717000.0,543%,500000,2023.12.09 ~ 2023.12.24,15,Saturday,543.4
13948,실용 · 취미,https://tumblbug.com/okwkd123,국가대표 바리스타의 2030 극 소자본 카페창업 마스터북,카페 창업을 하고싶은 사람들 위한 지침서,0,66,"['1,000원 +', '199,000원 +', '18,900원 +', '22,900원 +', '16,000원 +', '20,000원 +']",136,23,2325300.0,465%,500000,2023.04.18 ~ 2023.05.18,30,Tuesday,465.06
13949,실용 · 취미,https://tumblbug.com/shortcut_for_pm,9년차 선배가 말하는 PM 직무전환 지름길+인터뷰&용어정리,"프로덕트 매니저, 경력 없이 가능할까? 직무 전환한 선배들의 리얼 실무 이야기로 확인하자!",0,68,"['1,000원 +', '12,900원 +', '65,000원 +', '75,000원 +', '100,000원 +', '15,900원 +', '29,000원 +', '26,000원 +']",108,18,2320300.0,464%,500000,2023.09.01 ~ 2023.09.30,29,Friday,464.06
13950,실용 · 취미,https://tumblbug.com/dodotlab_1st, [함께해요! 유튜브의 시작]과 함께라면 당신도 유튜버!,"국내 탑 MCN 경력 도합 14년, 트레이너 3명이 6개월 간 집필한 족보 공개!",0,66,"['1,000원 +', '68,000원 +', '68,000원 +', '82,500원 +', '82,500원 +', '21,600원 +', '27,000원 +', '48,000원 +']",169,20,2194300.0,438%,500000,2023.06.21 ~ 2023.07.05,14,Wednesday,438.86
13951,실용 · 취미,https://tumblbug.com/physiognomy,관상은 과학이다? 창작자부터 일반인까지 <관상의 모든 것>,관상을 바탕으로 내 캐릭터까지 만들어보자! <캐릭터 관상 템플릿> 제공!,0,95,"['1,000원 +', '19,800원 +', '22,900원 +', '22,000원 +', '23,900원 +']",198,12,2171100.0,434%,500000,2023.08.23 ~ 2023.09.26,34,Wednesday,434.22
13952,실용 · 취미,https://tumblbug.com/natureskinmasterbook,피부도 알아야 좋아진다! 평생 써 먹는 [스킨케어마스터북],745명의 극찬을 받은 스킨케어 핵심 기본서! 한 번 읽으면 단언컨대 정말로 피부가 변해요,0,99,"['1,000원 +', '17,900원 +', '19,900원 +', '22,900원 +', '22,900원 +', '25,900원 +', '2,000원 +', '3,000원 +']",482,11,1784600.0,356%,500000,2023.10.11 ~ 2023.11.14,34,Wednesday,356.92
13953,실용 · 취미,https://tumblbug.com/storyrecipe,"창작자에게 선물하는 A급 비밀, <스토리 매력 레시피>","스토리 빌딩에 필요한 내용을 떠먹여드립니다. 첫 번째 시리즈, 캐릭터 역할편을 만나보세요!",0,108,"['1,000원 +', '15,000원 +', '13,500원 +']",293,15,1547000.0,309%,500000,2023.06.26 ~ 2023.07.17,21,Monday,309.4
13954,실용 · 취미,https://tumblbug.com/pharm_mise,아직도 믿고 계시나요? 아무도 들려주지 않은 당뇨약의 비밀,약국에서 당뇨약을 드시는 모든 환자분들에게 진짜 해주고 싶었던 이야기를 담았습니다.,0,57,"['1,000원 +', '24,000원 +', '20,000원 +', '25,000원 +', '25,000원 +', '28,000원 +', '20,000원 +']",81,10,1296000.0,259%,500000,2023.04.03 ~ 2023.05.28,55,Monday,259.2
13955,실용 · 취미,https://tumblbug.com/easywriting,바로 써먹는 챗GPT 글쓰기 비결,어려운 글쓰기는 그만! 챗 GPT로 글쓰기 잘하는 방법을 알려드립니다.,0,38,"['1,000원 +', '29,000원 +', '34,000원 +', '36,000원 +', '36,000원 +', '39,000원 +', '32,000원 +']",93,29,1261000.0,252%,500000,2023.11.05 ~ 2023.11.30,25,Sunday,252.2
13956,실용 · 취미,https://tumblbug.com/spacecollection,"창작자를 위한 <판타지 우주 백과> 세계관, 캐릭터 설정집",미스터리한 우주의 모든 것과 창작에 활용할 수 있는 가이드를 제공합니다.,0,91,"['1,000원 +', '17,000원 +', '17,000원 +', '33,000원 +', '47,000원 +', '47,000원 +', '60,000원 +', '19,000원 +', '19,000원 +', '37,000원 +']",324,9,3621000.0,241%,1500000,2023.08.08 ~ 2023.08.28,20,Tuesday,724.2
13957,실용 · 취미,https://tumblbug.com/zoostoryyy,꼬리달린사람? 판타지 로판 작가를 위한 <상상생명체사전>,"로판작가이신가요? 마음껏 2차 창작 가능한 <상상생명체사전>, 스토리에 힘을 불어넣습니다.",0,50,"['1,000원 +', '15,000원 +', '17,000원 +', '49,900원 +']",207,2,1168800.0,233%,500000,2023.10.03 ~ 2023.10.10,7,Tuesday,233.76000000000002
13958,실용 · 취미,https://tumblbug.com/secrete_writing,19만 작가가 직접 털어놓은실전 글쓰기의 모든 노하우.,19만 조회수 브런치 작가가 털어놓는 실전 글쓰기법. 글쓰기 수업은 필요 없습니다.,0,36,"['1,000원 +', '22,900원 +', '24,300원 +', '34,700원 +', '27,000원 +', '39,500원 +']",127,6,1131200.0,226%,500000,2023.06.14 ~ 2023.07.24,40,Wednesday,226.24
13959,실용 · 취미,https://tumblbug.com/systube,따라만 하면 되는 시스템으로 하는 유튜브 가이드북&스터디,데이터 분석과 시스템만 따라하면 누구나 원하는 유튜브를 할 수 있는 가이드북 & 스터디,0,22,"['1,000원 +', '20,000원 +', '57,000원 +', '75,000원 +', '87,000원 +', '142,000원 +', '22,000원 +', '33,000원 +', '59,000원 +', '77,000원 +', '89,000원 +', '144,000원 +', '30,000원 +']",69,31,1075000.0,215%,500000,2023.06.28 ~ 2023.07.14,16,Wednesday,215.0
13960,실용 · 취미,https://tumblbug.com/cartoonvoca,필수 어원을 만화와 스토리로 마스터하는 4컷 영단어,영단어를 쉽게 암기할 수 있는 필수 어원을 4컷 만화와 스토리로 배우는 영단어 책,0,54,"['1,000원 +', '19,000원 +', '34,000원 +', '20,000원 +', '35,000원 +']",91,6,1057000.0,211%,500000,2023.05.25 ~ 2023.06.19,25,Thursday,211.39999999999998
13961,실용 · 취미,https://tumblbug.com/njobler1994,프로 N잡러의 시간활용법: 음악을 몰라도 작곡으로 돈벌다.,"음악을 몰라도, 작곡을 몰라도
평범한 사무직 직장인이 월급 이상의 부수입을 얻게 된 노하우",0,50,"['1,000원 +', '8,000원 +', '15,000원 +', '20,000원 +']",127,19,1044000.0,208%,500000,2023.07.01 ~ 2023.08.10,40,Saturday,208.8
